mobile_prefix,province_name,city_name,isp_code,isp_name,source_prefix,operator_raw,operator_code_raw,reason
1350092,吉林,延边,CMCC,中国移动,1350092,中国移动,1,base_row_selected_for_import
1350092,吉林,延边,CMCC,中国移动,13500924,移动,1,same_7_digit_prefix_has_multiple_location_variants
1350092,吉林,珲春,CMCC,中国移动,13500929,移动,1,same_7_digit_prefix_has_multiple_location_variants
1350097,吉林,通化,CMCC,中国移动,1350097,中国移动,1,base_row_selected_for_import
1350097,吉林,通化,CMCC,中国移动,13500971,移动,1,same_7_digit_prefix_has_multiple_location_variants
1350097,吉林,梅河口,CMCC,中国移动,13500972,移动,1,same_7_digit_prefix_has_multiple_location_variants
1351435,吉林,通化,CMCC,中国移动,1351435,中国移动,1,base_row_selected_for_import
1351435,吉林,通化,CMCC,中国移动,13514358,移动,1,same_7_digit_prefix_has_multiple_location_variants
1351435,吉林,梅河口,CMCC,中国移动,13514359,移动,1,same_7_digit_prefix_has_multiple_location_variants
1363068,吉林,延边,CMCC,中国移动,1363068,中国移动,1,base_row_selected_for_import
1363068,吉林,珲春,CMCC,中国移动,13630683,移动,1,same_7_digit_prefix_has_multiple_location_variants
1363068,吉林,延边,CMCC,中国移动,13630684,移动,1,same_7_digit_prefix_has_multiple_location_variants
1363069,吉林,延边,CMCC,中国移动,1363069,中国移动,1,base_row_selected_for_import
1363069,吉林,珲春,CMCC,中国移动,13630695,移动,1,same_7_digit_prefix_has_multiple_location_variants
1363069,吉林,延边,CMCC,中国移动,13630699,移动,1,same_7_digit_prefix_has_multiple_location_variants
1363433,吉林,延边,CMCC,中国移动,1363433,中国移动,1,base_row_selected_for_import
1363433,吉林,延边,CMCC,中国移动,13634338,移动,1,same_7_digit_prefix_has_multiple_location_variants
1363433,吉林,珲春,CMCC,中国移动,13634339,移动,1,same_7_digit_prefix_has_multiple_location_variants
1363435,吉林,通化,CMCC,中国移动,1363435,中国移动,1,base_row_selected_for_import
1363435,吉林,通化,CMCC,中国移动,13634358,移动,1,same_7_digit_prefix_has_multiple_location_variants
1363435,吉林,梅河口,CMCC,中国移动,13634359,移动,1,same_7_digit_prefix_has_multiple_location_variants
1363443,吉林,延边,CMCC,中国移动,1363443,中国移动,1,base_row_selected_for_import
1363443,吉林,延边,CMCC,中国移动,13634438,移动,1,same_7_digit_prefix_has_multiple_location_variants
1363443,吉林,珲春,CMCC,中国移动,13634439,移动,1,same_7_digit_prefix_has_multiple_location_variants
1363445,吉林,通化,CMCC,中国移动,1363445,中国移动,1,base_row_selected_for_import
1363445,吉林,通化,CMCC,中国移动,13634458,移动,1,same_7_digit_prefix_has_multiple_location_variants
1363445,吉林,梅河口,CMCC,中国移动,13634459,移动,1,same_7_digit_prefix_has_multiple_location_variants
1370443,吉林,延边,CMCC,中国移动,1370443,中国移动,1,base_row_selected_for_import
1370443,吉林,延边,CMCC,中国移动,13704438,移动,1,same_7_digit_prefix_has_multiple_location_variants
1370443,吉林,珲春,CMCC,中国移动,13704439,移动,1,same_7_digit_prefix_has_multiple_location_variants
1370445,吉林,通化,CMCC,中国移动,1370445,中国移动,1,base_row_selected_for_import
1370445,吉林,通化,CMCC,中国移动,13704457,移动,1,same_7_digit_prefix_has_multiple_location_variants
1370445,吉林,梅河口,CMCC,中国移动,13704459,移动,1,same_7_digit_prefix_has_multiple_location_variants
1370446,吉林,延边,CMCC,中国移动,1370446,中国移动,1,base_row_selected_for_import
1370446,吉林,珲春,CMCC,中国移动,13704466,移动,1,same_7_digit_prefix_has_multiple_location_variants
1370446,吉林,延边,CMCC,中国移动,13704469,移动,1,same_7_digit_prefix_has_multiple_location_variants
1370970,青海,海东,CMCC,中国移动,1370970,中国移动,1,base_row_selected_for_import
1370970,青海,西宁,CMCC,中国移动,13709704,移动,1,same_7_digit_prefix_has_multiple_location_variants
1370970,青海,海东,CMCC,中国移动,13709709,移动,1,same_7_digit_prefix_has_multiple_location_variants
1370993,新疆,石河子,CMCC,中国移动,1370993,中国移动,1,base_row_selected_for_import
1370993,新疆,石河子,CMCC,中国移动,13709934,移动,1,same_7_digit_prefix_has_multiple_location_variants
1370993,新疆,伊犁哈萨克,CMCC,中国移动,13709939,移动,1,same_7_digit_prefix_has_multiple_location_variants
1380443,吉林,延边,CMCC,中国移动,1380443,中国移动,1,base_row_selected_for_import
1380443,吉林,延边,CMCC,中国移动,13804438,移动,1,same_7_digit_prefix_has_multiple_location_variants
1380443,吉林,珲春,CMCC,中国移动,13804439,移动,1,same_7_digit_prefix_has_multiple_location_variants
1380445,吉林,通化,CMCC,中国移动,1380445,中国移动,1,base_row_selected_for_import
1380445,吉林,梅河口,CMCC,中国移动,13804456,移动,1,same_7_digit_prefix_has_multiple_location_variants
1380445,吉林,通化,CMCC,中国移动,13804459,移动,1,same_7_digit_prefix_has_multiple_location_variants
1380998,新疆,和田,CMCC,中国移动,1380998,中国移动,1,base_row_selected_for_import
1380998,新疆,和田,CMCC,中国移动,13809984,移动,1,same_7_digit_prefix_has_multiple_location_variants
1380998,新疆,克州,CMCC,中国移动,13809989,移动,1,same_7_digit_prefix_has_multiple_location_variants
1384333,吉林,延边,CMCC,中国移动,1384333,中国移动,1,base_row_selected_for_import
1384333,吉林,珲春,CMCC,中国移动,13843337,移动,1,same_7_digit_prefix_has_multiple_location_variants
1384333,吉林,延边,CMCC,中国移动,13843339,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390367,黑龙江,七台河,CMCC,中国移动,1390367,中国移动,1,base_row_selected_for_import
1390367,黑龙江,七台河,CMCC,中国移动,13903674,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390367,黑龙江,鸡西,CMCC,中国移动,13903679,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390445,吉林,通化,CMCC,中国移动,1390445,中国移动,1,base_row_selected_for_import
1390445,吉林,梅河口,CMCC,中国移动,13904456,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390445,吉林,通化,CMCC,中国移动,13904459,移动,1,same_7_digit_prefix_has_multiple_location_variants
1390447,吉林,延边,CMCC,中国移动,1390447,中国移动,1,base_row_selected_for_import
1390447,吉林,延边,CMCC,中国移动,13904478,移动,1,same_7_digit_prefix_has_multiple_location_variants
